cliente,recencia_dias,frecuencia,monetario,ticket_medio,antiguedad_dias,categorias_distintas,proporcion_movil,dias_entre_pedidos,cat_informatica,cat_telefonia,abandona,segmento,particion
C0287,301,3,114.89,38.29666666666667,455,2,0.0,151.7,0,0,1,veterano,entrena
C0288,23,4,175.19,43.7975,172,3,0.75,43.0,1,0,0,reciente,prueba
C0289,4,14,1796.07,128.29071428571427,227,3,0.5714285714285714,16.2,1,0,0,reciente,prueba
C0290,53,4,258.41,64.6025,157,2,0.75,39.2,0,0,0,reciente,prueba
C0291,10,12,1116.69,93.0575,239,1,0.4166666666666667,19.9,0,0,0,reciente,prueba
C0292,437,3,419.06000000000006,139.6866666666667,537,2,0.3333333333333333,179.0,0,1,1,veterano,entrena
C0293,235,5,313.51,62.702,329,2,1.0,65.8,1,0,1,consolidado,entrena
C0294,34,23,2227.15,96.83260869565218,431,3,0.5217391304347826,18.7,1,0,0,consolidado,entrena
C0295,75,2,144.84,72.42,158,1,0.0,79.0,0,1,0,reciente,prueba
C0296,17,26,2486.14,95.62076923076923,498,3,0.38461538461538464,19.2,0,0,0,veterano,entrena
C0297,5,14,1358.95,97.06785714285715,411,2,0.21428571428571427,29.4,0,0,0,consolidado,entrena
C0298,19,8,704.78,88.0975,357,3,0.375,44.6,0,1,0,consolidado,entrena
C0299,20,4,686.78,171.695,221,3,0.25,55.2,0,0,0,reciente,prueba
C0300,4,12,578.48,48.20666666666667,501,3,0.8333333333333334,41.8,1,0,0,veterano,entrena
C0301,6,9,334.66,37.184444444444445,297,3,0.2222222222222222,33.0,0,1,0,consolidado,entrena
C0302,87,9,900.56,100.06222222222222,274,2,0.0,30.4,1,0,1,consolidado,entrena
C0303,68,12,621.88,51.82333333333333,429,2,0.8333333333333334,35.8,0,1,0,consolidado,entrena
C0304,7,24,2654.37,110.59875,421,2,0.25,17.5,1,0,0,consolidado,entrena
C0305,73,7,625.91,89.41571428571429,335,3,0.5714285714285714,47.9,0,0,0,consolidado,entrena
C0306,27,16,740.04,46.2525,382,3,0.125,23.9,1,0,0,consolidado,entrena
C0307,1,17,1685.33,99.1370588235294,514,3,0.5294117647058824,30.2,0,0,0,veterano,entrena
C0308,111,6,987.67,164.61166666666665,405,2,0.6666666666666666,67.5,0,1,0,consolidado,entrena
C0309,314,6,423.28,70.54666666666667,474,3,0.16666666666666666,79.0,1,0,1,veterano,entrena
C0310,177,2,196.07999999999998,98.03999999999999,220,1,0.5,110.0,1,0,0,reciente,prueba
C0311,84,5,516.71,103.34200000000001,288,2,0.6,57.6,0,0,0,consolidado,entrena
C0312,57,10,1067.4,106.74000000000001,465,2,0.8,46.5,1,0,0,veterano,entrena
C0313,21,8,995.85,124.48125,161,3,0.75,20.1,1,0,0,reciente,prueba
C0314,13,26,1536.73,59.105000000000004,440,3,0.19230769230769232,16.9,0,1,0,consolidado,entrena
C0315,145,8,1401.12,175.14,336,2,0.875,42.0,0,1,1,consolidado,entrena
C0316,46,15,2259.84,150.656,536,3,0.6,35.7,1,0,0,veterano,entrena
C0317,100,8,379.49,47.43625,280,3,0.5,35.0,1,0,0,consolidado,entrena
C0318,36,6,1064.8600000000001,177.4766666666667,345,3,0.0,57.5,0,0,0,consolidado,entrena
C0319,59,14,2085.2,148.94285714285712,350,3,1.0,25.0,0,0,0,consolidado,entrena
C0320,135,4,248.6,62.15,212,2,1.0,53.0,1,0,0,reciente,prueba
C0321,33,11,882.86,80.26,468,2,0.09090909090909091,42.5,1,0,0,veterano,entrena
C0322,130,3,390.38,130.12666666666667,357,3,0.3333333333333333,119.0,0,1,1,consolidado,entrena
C0323,222,5,210.37,42.074,518,2,0.0,103.6,0,1,1,veterano,entrena
C0324,4,7,864.4200000000001,123.48857142857143,355,3,0.5714285714285714,50.7,0,1,0,consolidado,entrena
C0325,52,9,633.64,70.40444444444444,362,3,0.2222222222222222,40.2,1,0,0,consolidado,entrena
C0326,43,3,388.9,129.63333333333333,175,3,0.3333333333333333,58.3,0,0,0,reciente,prueba
C0327,13,7,781.19,111.59857142857143,204,3,1.0,29.1,1,0,0,reciente,prueba
C0328,28,7,1366.4099999999999,195.20142857142855,316,3,0.42857142857142855,45.1,0,0,0,consolidado,entrena
C0329,250,10,1289.3,128.93,469,2,0.7,46.9,1,0,1,veterano,entrena
C0330,7,6,556.76,92.79333333333334,268,3,0.16666666666666666,44.7,1,0,0,consolidado,entrena
C0331,125,7,956.71,136.67285714285714,356,3,0.7142857142857143,50.9,1,0,0,consolidado,entrena
C0332,26,11,838.15,76.19545454545454,234,2,1.0,21.3,0,0,0,reciente,prueba
C0333,1,7,465.52000000000004,66.50285714285715,188,2,0.2857142857142857,26.9,0,0,0,reciente,prueba
C0334,23,14,1181.12,84.36571428571428,312,2,0.21428571428571427,22.3,0,1,0,consolidado,entrena
C0335,75,6,362.15,60.35833333333333,237,2,0.6666666666666666,39.5,0,0,0,reciente,prueba
C0336,37,9,686.64,76.29333333333334,396,3,0.3333333333333333,44.0,1,0,0,consolidado,entrena
C0337,70,6,757.53,126.255,295,2,0.3333333333333333,49.2,0,1,0,consolidado,entrena
C0338,23,9,410.19,45.57666666666667,373,3,0.7777777777777778,41.4,0,1,0,consolidado,entrena
C0339,295,5,533.8199999999999,106.76399999999998,453,1,0.6,90.6,0,0,1,veterano,entrena
C0340,5,11,346.36,31.487272727272728,471,3,0.09090909090909091,42.8,1,0,1,veterano,entrena
C0341,9,10,462.69,46.269,293,2,0.3,29.3,0,1,0,consolidado,entrena
C0342,42,21,1556.26,74.10761904761905,506,3,0.47619047619047616,24.1,0,1,0,veterano,entrena
C0343,78,7,454.51,64.92999999999999,353,2,0.42857142857142855,50.4,1,0,0,consolidado,entrena
C0344,106,6,700.31,116.71833333333332,253,2,0.3333333333333333,42.2,1,0,1,consolidado,entrena
C0345,53,5,580.04,116.008,255,3,0.4,51.0,0,0,0,consolidado,entrena
C0346,1,7,1115.91,159.4157142857143,354,2,0.2857142857142857,50.6,0,1,0,consolidado,entrena
C0347,61,12,1018.24,84.85333333333334,451,2,1.0,37.6,1,0,0,veterano,entrena
C0348,16,5,272.31,54.462,245,2,0.4,49.0,0,0,0,reciente,prueba
C0349,151,5,469.31,93.862,292,1,0.6,58.4,0,0,1,consolidado,entrena
C0350,145,11,747.25,67.93181818181819,405,3,0.6363636363636364,36.8,0,1,0,consolidado,entrena
C0351,48,9,1178.42,130.93555555555557,354,3,0.2222222222222222,39.3,0,0,0,consolidado,entrena
C0352,49,10,1154.67,115.46700000000001,438,3,0.7,43.8,0,0,0,consolidado,entrena
C0353,75,6,593.47,98.91166666666668,348,2,0.5,58.0,0,1,0,consolidado,entrena
C0354,14,14,1534.27,109.59071428571428,189,3,0.5714285714285714,13.5,0,1,0,reciente,prueba
C0355,77,4,307.25,76.8125,303,2,0.5,75.8,1,0,0,consolidado,entrena
C0356,10,25,1231.6299999999999,49.26519999999999,361,3,0.24,14.4,0,1,0,consolidado,entrena
C0357,137,16,727.3,45.45625,541,2,0.875,33.8,0,1,1,veterano,entrena
C0358,20,10,992.99,99.299,175,2,0.7,17.5,1,0,0,reciente,prueba
C0359,15,18,1183.8400000000001,65.7688888888889,409,3,0.5,22.7,1,0,0,consolidado,entrena
C0360,158,2,175.51999999999998,87.75999999999999,200,2,0.5,100.0,0,0,1,reciente,prueba
C0361,111,8,320.13,40.01625,276,3,0.75,34.5,0,0,1,consolidado,entrena
C0362,14,11,739.38,67.21636363636364,389,3,0.9090909090909091,35.4,0,1,0,consolidado,entrena
C0363,3,7,256.32,36.61714285714286,528,2,0.42857142857142855,75.4,0,0,0,veterano,entrena
C0364,8,2,282.64,141.32,212,2,0.0,106.0,0,1,0,reciente,prueba
C0365,7,22,3257.37,148.06227272727273,457,3,0.5,20.8,0,0,0,veterano,entrena
C0366,93,5,640.38,128.076,235,2,0.2,47.0,0,0,1,reciente,prueba
C0367,155,3,187.13,62.376666666666665,457,2,0.6666666666666666,152.3,1,0,1,veterano,entrena
C0368,346,2,553.53,276.765,362,2,0.5,181.0,0,1,0,consolidado,entrena
C0369,75,5,455.29,91.058,150,2,0.8,30.0,0,1,0,reciente,prueba
C0370,13,9,1072.4,119.15555555555557,312,3,0.7777777777777778,34.7,0,0,0,consolidado,entrena
C0371,21,13,1298.72,99.90153846153846,537,3,0.15384615384615385,41.3,0,1,1,veterano,entrena
C0372,16,14,1740.8500000000001,124.34642857142858,476,3,0.9285714285714286,34.0,0,1,0,veterano,entrena
C0373,51,7,851.87,121.69571428571429,186,3,0.7142857142857143,26.6,1,0,0,reciente,prueba
C0374,23,12,954.54,79.545,412,2,0.4166666666666667,34.3,0,0,0,consolidado,entrena
C0375,59,7,223.12,31.874285714285715,280,2,0.8571428571428571,40.0,1,0,1,consolidado,entrena
C0376,14,25,2991.82,119.67280000000001,327,3,0.88,13.1,0,1,0,consolidado,entrena
C0377,44,12,1109.04,92.42,257,3,0.8333333333333334,21.4,0,1,0,consolidado,entrena
C0378,190,8,1464.71,183.08875,437,2,0.75,54.6,0,0,1,consolidado,entrena
C0379,85,3,275.39,91.79666666666667,195,2,0.0,65.0,1,0,0,reciente,prueba
C0380,15,17,1650.71,97.10058823529413,347,3,0.7058823529411765,20.4,0,1,0,consolidado,entrena
C0381,43,7,745.5699999999999,106.50999999999999,170,2,0.2857142857142857,24.3,1,0,0,reciente,prueba
C0382,327,3,162.61,54.20333333333334,399,3,0.3333333333333333,133.0,1,0,1,consolidado,entrena
C0383,16,15,653.4,43.559999999999995,537,3,0.4,35.8,0,0,0,veterano,entrena
C0384,9,5,859.15,171.82999999999998,191,2,0.4,38.2,0,0,0,reciente,prueba
C0385,4,26,5129.54,197.29,477,3,0.5769230769230769,18.3,0,0,0,veterano,entrena
C0386,94,9,547.3199999999999,60.813333333333325,462,3,0.7777777777777778,51.3,0,1,1,veterano,entrena
C0387,361,3,211.13,70.37666666666667,464,2,1.0,154.7,0,1,1,veterano,entrena
C0388,38,12,862.9399999999999,71.91166666666666,457,3,0.25,38.1,0,1,0,veterano,entrena
C0389,25,16,1776.48,111.03,369,3,0.375,23.1,1,0,0,consolidado,entrena
C0390,226,4,448.05,112.0125,291,3,0.5,72.8,1,0,1,consolidado,entrena
C0391,68,6,626.58,104.43,259,2,0.16666666666666666,43.2,1,0,0,consolidado,entrena
C0392,70,3,130.14000000000001,43.38,217,2,1.0,72.3,0,0,1,reciente,prueba
C0393,104,5,753.48,150.696,234,2,1.0,46.8,0,0,0,reciente,prueba
C0394,6,22,1871.69,85.07681818181818,404,3,0.5909090909090909,18.4,1,0,0,consolidado,entrena
C0395,57,5,460.59999999999997,92.11999999999999,313,2,0.8,62.6,0,1,0,consolidado,entrena
C0396,3,17,2771.36,163.02117647058824,459,3,0.35294117647058826,27.0,0,1,0,veterano,entrena
C0397,45,23,870.13,37.831739130434784,532,3,0.6521739130434783,23.1,0,1,0,veterano,entrena
C0398,7,18,1418.99,78.83277777777778,501,3,0.9444444444444444,27.8,0,0,0,veterano,entrena
C0399,21,15,2279.35,151.95666666666665,526,3,0.0,35.1,0,0,0,veterano,entrena
C0400,145,6,140.95,23.491666666666664,376,3,0.0,62.7,0,0,1,consolidado,entrena
