ID_Transaccion,Fecha,Cliente_ID,Producto,Categoria,Precio_Unitario,Cantidad,Descuento_%,Costo_Envio,Region
T2024-01157,2024-11-19,C0001,Altavoz bluetooth,Audio,78.17,1.0,0.0,6.73,Comunitat Valenciana
T2024-00849,2024-11-09,C0019,Auriculares con cable,Perifericos,30.23,2.0,25.0,6.49,Comunitat Valenciana
T2024-00880,2024-12-29,C0011,Monitor 27 pulgadas,Informatica,270.04,5.0,0.0,0.0,Cataluna
T2024-01863,2024-10-07,C0052,Movil gama alta,Telefonia,1103.08,2.0,0.0,0.0,Comunitat Valenciana
T2024-04215,2024-04-19,C0001,Pulsera de actividad,Vestible,62.37,1.0,0.0,10.73,Canarias
T2024-04317,2024-01-16,C0017,Disco SSD 1 TB,Almacenamiento,108.91,2.0,0.0,0.0,Comunitat Valenciana
T2024-01922,2024-05-11,C0010,Camara web 1080p,Perifericos,73.16,2.0,0.0,0.0,Comunitat Valenciana
T2024-03545,2024-10-27,C0636,Altavoz bluetooth,Audio,74.86,2.0,0.0,0.0,Comunitat Valenciana
T2024-02797,2024-09-21,C0033,Disco SSD 1 TB,Almacenamiento,87.32,1.0,0.0,5.33,Madrid
T2024-02876,2024-05-19,C0194,Auriculares con cable,Perifericos,30.13,2.0,0.0,3.05,Madrid
T2024-03342,2024-01-12,C1010,Pulsera de actividad,Vestible,54.53,3.0,0.0,0.0,Galicia
T2024-01930,2024-12-09,C0005,Monitor 27 pulgadas,Informatica,252.67,2.0,25.0,0.0,Comunitat Valenciana
T2024-00841,2024-09-10,C0010,Portatil 16 pulgadas,Informatica,1413.55,2.0,0.0,0.0,Pais Vasco
T2024-01914,2024-04-08,C0002,Camara web 1080p,Perifericos,70.49,2.0,0.0,0.0,Andalucia
T2024-00084,2024-10-07,C0038,Tarjeta microSD 256 GB,Almacenamiento,32.77,2.0,0.0,5.16,Pais Vasco
T2024-01313,2024-06-21,C0010,Monitor 27 pulgadas,Informatica,249.82,2.0,15.0,0.0,Andalucia
T2024-01367,2024-11-17,C0091,Auriculares con cable,perifericos,29.05,1.0,0.0,6.81,Madrid
T2024-04451,2024-07-12,C0678,Auriculares con cable,Perifericos,26.94,1.0,10.0,6.78,Cataluna
T2024-03778,2024-05-11,C0001,Altavoz bluetooth,Audio,87.46,5.0,10.0,0.0,Cataluna
T2024-04179,2024-07-28,C0027,Auriculares inalambricos,Audio,131.22,4.0,0.0,0.0,Cataluna
T2024-02207,2024-04-07,C0227,Raton ergonomico,Perifericos,46.6,1.0,30.0,4.15,Andalucia
T2024-03852,2024-04-18,C0290,Tarjeta microSD 256 GB,Almacenamiento,35.37,3.0,0.0,0.0,Cataluna
T2024-01781,2024-08-11,C0042,Pulsera de actividad,Vestible,63.54,5.0,0.0,0.0,Cataluna
T2024-02514,2024-04-27,C0785,Raton ergonomico,Perifericos,43.73,4.0,20.0,0.0,Pais Vasco
T2024-02502,2024-05-10,C1012,Teclado mecanico,Perifericos,92.32,1.0,0.0,5.71,Comunitat Valenciana
T2024-03764,2024-04-12,C0004,Monitor 27 pulgadas,Informatica,217.21,2.0,10.0,12.82,Canarias
T2024-00190,2024-06-02,C0018,Pulsera de actividad,Vestible,58.97,3.0,10.0,0.0,Comunitat Valenciana
T2024-00022,2024-06-08,C0076,Barra de sonido,Audio,177.35,3.0,0.0,0.0,Comunitat Valenciana
T2024-01799,2024-09-18,C0807,Barra de sonido,Audio,188.58,5.0,10.0,0.0,Comunitat Valenciana
T2024-00999,2024-06-30,C0482,Pulsera de actividad,Vestible,61.92,5.0,0.0,0.0,Madrid
T2024-04636,2024-11-14,C0280,Altavoz bluetooth,Audio,80.79,5.0,20.0,0.0,Madrid
T2024-01564,2024-07-27,C0269,Camara web 1080p,Perifericos,78.83,1.0,0.0,4.85,Comunitat Valenciana
T2024-03080,2024-12-25,C0415,Disco SSD 1 TB,Almacenamiento,109.92,1.0,0.0,0.0,Madrid
T2024-03483,2024-07-11,C0038,Auriculares con cable,Perifericos,31.44,2.0,0.0,3.43,Cataluna
T2024-01891,2024-11-04,C0005,Movil gama media,Telefonia,350.72,5.0,15.0,0.0,Galicia
T2024-00353,2024-04-24,C0414,Auriculares con cable,Perifericos,30.21,1.0,0.0,4.41,Madrid
T2024-01095,2024-12-28,C0173,Reloj inteligente,Vestible,179.17,2.0,20.0,0.0,Cataluna
T2024-01266,2024-12-09,C0003,Tarjeta microSD 256 GB,Almacenamiento,34.71,3.0,0.0,0.0,Andalucia
T2024-02939,2024-10-30,C0157,Teclado mecanico,Perifericos,96.45,1.0,0.0,6.45,Andalucia
T2024-03301,2024-02-01,C0001,Portatil 16 pulgadas,Informatica,1481.16,1.0,0.0,0.0,Cataluna
T2024-03687,2024-03-04,C0004,Tablet 10 pulgadas,Telefonia,291.8,2.0,15.0,0.0,Comunitat Valenciana
T2024-00433,2024-12-12,C0846,Camara web 1080p,Perifericos,65.53,4.0,0.0,0.0,Comunitat Valenciana
T2024-D0051,2024-12-15,C0004,Camara web 1080p,Perifericos,74.78,1.0,0.0,4.81,Comunitat Valenciana
T2024-01108,2024-10-02,C0004,Auriculares con cable,Perifericos,26.67,1.0,0.0,3.15,Comunitat Valenciana
T2024-04607,2024-08-28,C0820,Pulsera de actividad,Vestible,60.82,1.0,10.0,3.62,Comunitat Valenciana
T2024-01300,2024-01-27,C0001,Tarjeta microSD 256 GB,Almacenamiento,35.54,1.0,0.0,4.3,Cataluna
T2024-04691,2024-11-11,C0017,Barra de sonido,Audio,211.92,2.0,20.0,0.0,Comunitat Valenciana
T2024-04470,2024-09-08,C0095,Portatil 14 pulgadas,INFORMATICA,914.55,1.0,,0.0,Comunitat Valenciana
T2024-04309,2024-12-04,C0422,Raton ergonomico,Perifericos,46.58,5.0,0.0,0.0,Andalucia
T2024-02657,2024-03-16,C0020,Altavoz bluetooth,Audio,75.74,1.0,0.0,3.97,Madrid
T2024-01146,2024-09-02,C0004,Auriculares con cable,Perifericos,27.47,1.0,0.0,4.85,Comunitat Valenciana
T2024-03322,2024-10-30,C0185,Movil gama media,Telefonia,314.68,5.0,0.0,0.0,Comunitat Valenciana
T2024-03083,2024-06-30,C0405,Tarjeta microSD 256 GB,Almacenamiento,33.87,1.0,0.0,6.7,Pais Vasco
T2024-02157,2024-01-30,C0001,Portatil 14 pulgadas,Informatica,879.55,1.0,5.0,0.0,Madrid
T2024-01450,2024-10-13,C0360,Auriculares inalambricos,Audio,122.3,2.0,0.0,0.0,Pais Vasco
T2024-D0012,2024-02-14,C0555,Reloj inteligente,Vestible,182.03,3.0,0.0,0.0,Comunitat Valenciana
T2024-03631,2024-11-15,C0108,Teclado mecanico,perifericos,90.52,3.0,0.0,0.0,Galicia
T2024-03617,2024-08-31,C0220,Tarjeta microSD 256 GB,Almacenamiento,-33.92,1.0,0.0,5.15,Cataluna
T2024-01971,2024-01-08,C0256,Camara web 1080p,Perifericos,70.87,4.0,0.0,0.0,Comunitat Valenciana
T2024-04277,2024-03-16,C0009,Monitor 27 pulgadas,Informatica,248.59,1.0,,0.0,Galicia
T2024-02583,2024-07-15,C0235,Tarjeta microSD 256 GB,Almacenamiento,35.98,2.0,,4.85,Comunitat Valenciana
T2024-01784,2024-03-31,C0200,Reloj inteligente,Vestible,182.34,3.0,0.0,0.0,Madrid
T2024-D0024,2024-12-24,C0286,Auriculares con cable,Perifericos,33.27,3.0,0.0,4.28,Andalucia
T2024-03030,2024-12-21,C0101,Disco SSD 1 TB,Almacenamiento,94.24,1.0,0.0,3.96,Cataluna
T2024-00726,2024-12-16,C0018,Reloj inteligente,Vestible,174.58,4.0,0.0,0.0,Cataluna
T2024-00986,2024-10-14,C0083,Auriculares inalambricos,Audio,125.89,4.0,20.0,0.0,Galicia
T2024-02767,2024-04-02,C0020,Raton ergonomico,Perifericos,48.43,3.0,0.0,0.0,Cataluna
T2024-01600,2024-06-24,C0545,Disco SSD 1 TB,Almacenamiento,99.92,1.0,0.0,5.5,Cataluna
T2024-03251,2024-09-06,C0100,Tarjeta microSD 256 GB,Almacenamiento,32.17,2.0,25.0,5.51,Comunitat Valenciana
T2024-02912,2024-08-24,C0106,Raton ergonomico,Perifericos,45.92,1.0,0.0,4.72,Madrid
T2024-01361,2024-07-23,C0005,Disco SSD 2 TB,Almacenamiento,168.13,2.0,0.0,0.0,Madrid
T2024-04845,2024-02-24,C0180,Reloj inteligente,Vestible,211.27,2.0,5.0,13.33,Canarias
T2024-02288,2024-03-01,C0149,Altavoz bluetooth,Audio,67.01,2.0,10.0,0.0,Cataluna
T2024-01332,2024-06-22,C0001,Disco SSD 1 TB,Almacenamiento,104.26,1.0,0.0,0.0,Madrid
T2024-03933,2024-04-16,C0055,Barra de sonido,Audio,195.85,1.0,,0.0,Andalucia
T2024-01758,2024-04-07,C0603,Barra de sonido,Audio,193.43,1.0,0.0,0.0,Comunitat Valenciana
T2024-01565,2024-02-01,C0023,Disco SSD 1 TB,Almacenamiento,98.92,5.0,0.0,0.0,Comunitat Valenciana
T2024-02214,2024-05-26,C0178,Tablet 10 pulgadas,Telefonia,284.84,1.0,0.0,0.0,Galicia
T2024-01566,2024-10-12,C0300,Pulsera de actividad,Vestible,63.37,1.0,15.0,2.98,Cataluna
T2024-02989,2024-11-11,C0023,Camara web 1080p,Perifericos,70.79,3.0,0.0,0.0,Cataluna
T2024-04502,2024-11-04,C0189,Movil gama alta,Telefonia,982.74,2.0,20.0,0.0,Andalucia
T2024-D0050,2024-12-14,C0650,Movil gama media,Telefonia,332.46,5.0,10.0,0.0,Cataluna
T2024-02994,2024-09-29,C0186,Auriculares inalambricos,Audio,121.57,2.0,20.0,0.0,Cataluna
T2024-04119,2024-04-11,C0187,Disco SSD 1 TB,Almacenamiento,95.71,2.0,0.0,0.0,Andalucia
T2024-00779,2024-12-16,C0628,Tablet 10 pulgadas,Telefonia,281.25,2.0,0.0,0.0,Madrid
T2024-02661,2024-12-19,C0016,Pulsera de actividad,Vestible,63.66,4.0,0.0,0.0,Madrid
T2024-02488,2024-11-21,C0004,Auriculares con cable,Perifericos,30.5,,0.0,13.41,Canarias
T2024-01806,2024-09-29,C0003,Tablet 10 pulgadas,Telefonia,266.86,2.0,10.0,0.0,Cataluna
T2024-02029,2024-12-13,C0011,Tarjeta microSD 256 GB,Almacenamiento,34.02,1.0,0.0,6.29,Andalucia
T2024-03915,2024-08-26,C0122,Auriculares con cable,Perifericos,29.62,1.0,30.0,5.45,Andalucia
T2024-03308,2024-11-03,C0407,Tarjeta microSD 256 GB,Almacenamiento,38.63,1.0,0.0,6.06,Madrid
T2024-03808,2024-02-16,C0886,Camara web 1080p,Perifericos,64.82,4.0,0.0,0.0,Cataluna
T2024-04869,2024-07-05,C0096,Movil gama media,Telefonia,355.44,3.0,10.0,0.0,Pais Vasco
T2024-02842,2024-03-02,C0140,Movil gama media,Telefonia,335.28,3.0,25.0,0.0,Madrid
T2024-03164,2024-12-11,C0126,Pulsera de actividad,Vestible,61.4,2.0,10.0,0.0,Comunitat Valenciana
T2024-01928,2024-05-27,C0111,Disco SSD 1 TB,Almacenamiento,95.42,4.0,0.0,0.0,Pais Vasco
T2024-04201,2024-10-20,C1130,Tarjeta microSD 256 GB,Almacenamiento,35.93,4.0,0.0,0.0,Comunitat Valenciana
T2024-03876,2024-10-11,C0025,Disco SSD 1 TB,Almacenamiento,104.99,2.0,0.0,0.0,Comunitat Valenciana
T2024-03737,2024-11-22,C0626,Disco SSD 1 TB,Almacenamiento,98.16,1.0,0.0,6.69,Galicia
T2024-00257,2024-08-01,C0012,Pulsera de actividad,Vestible,63.25,3.0,0.0,13.31,Canarias
T2024-00620,2024-01-31,C0601,Altavoz bluetooth,Audio,84.86,2.0,10.0,10.76,Canarias
T2024-04373,2024-05-06,C0360,Reloj inteligente,Vestible,171.71,1.0,0.0,0.0,Pais Vasco
T2024-00151,2024-11-25,C0009,Pulsera de actividad,Vestible,58.37,1.0,0.0,4.41,Pais Vasco
T2024-04654,2024-04-06,C0001,Disco SSD 1 TB,Almacenamiento,103.81,1.0,0.0,0.0,Pais Vasco
T2024-04453,2024-01-30,C0120,Auriculares inalambricos,Audio,115.6,3.0,10.0,0.0,Andalucia
T2024-03311,2024-06-09,C0213,Camara web 1080p,Perifericos,72.86,3.0,0.0,0.0,Madrid
T2024-04452,2024-12-18,C0011,Tablet 10 pulgadas,Telefonia,289.13,,0.0,0.0,Galicia
T2024-00686,2024-06-18,C0355,Movil gama media,Telefonia,347.89,1.0,0.0,0.0,Comunitat Valenciana
T2024-03708,2024-11-16,C0283,Teclado mecanico,Perifericos,102.64,5.0,0.0,0.0,Galicia
T2024-03993,2024-03-27,C0002,Movil gama media,Telefonia,348.62,1.0,30.0,0.0,Cataluna
T2024-01265,2024-12-13,C1177,Barra de sonido,Audio,218.04,1.0,15.0,0.0,Madrid
T2024-03365,2024-03-09,C0065,Pulsera de actividad,Vestible,54.07,1.0,30.0,6.73,Madrid
T2024-00963,2024-01-02,C0011,Movil gama alta,Telefonia,1006.33,2.0,,0.0,Andalucia
T2024-02042,2024-07-04,C0044,Portatil 14 pulgadas,INFORMATICA,820.84,5.0,5.0,0.0,Comunitat Valenciana
T2024-01377,2024-05-07,C0407,Camara web 1080p,Perifericos,69.0,3.0,5.0,0.0,Pais Vasco
T2024-00167,2024-03-17,C0013,Auriculares con cable,Perifericos,29.52,2.0,0.0,6.2,Andalucia
T2024-03060,2024-02-23,C0015,Reloj inteligente,Vestible,176.83,1.0,0.0,0.0,Galicia
T2024-03244,2024-12-07,C0001,Altavoz bluetooth, Audio ,69.91,2.0,15.0,0.0,Andalucia
T2024-01718,2024-11-12,C0004,Portatil 14 pulgadas,Informatica,868.47,4.0,0.0,0.0,Cataluna
T2024-00712,2024-12-03,C0041,Raton ergonomico,Perifericos,45.03,2.0,30.0,4.2,Comunitat Valenciana
T2024-00810,2024-03-31,C0012,Auriculares con cable,Perifericos,31.65,2.0,,3.18,Andalucia
T2024-04039,2024-12-12,C0552,Altavoz bluetooth,Audio,74.24,3.0,0.0,0.0,Madrid
T2024-03612,2024-01-17,C0003,Disco SSD 2 TB,Almacenamiento,153.45,1.0,0.0,0.0,Galicia
T2024-01099,2024-11-11,C0460,Raton ergonomico,Perifericos,44.87,4.0,0.0,0.0,Comunitat Valenciana
T2024-03047,2024-01-22,C0142,Tarjeta microSD 256 GB,Almacenamiento,33.37,1.0,0.0,3.35,Cataluna
T2024-01023,2024-05-07,C0726,Auriculares inalambricos,Audio,135.03,2.0,0.0,0.0,Andalucia
T2024-04617,2024-01-10,C0010,Auriculares inalambricos,Audio,125.67,1.0,5.0,0.0,Comunitat Valenciana
T2024-00793,2024-12-03,C0004,Pulsera de actividad,Vestible,65.16,2.0,25.0,0.0,Cataluna
T2024-03072,2024-10-05,C0048,Barra de sonido,Audio,166.2,1.0,10.0,0.0,Comunitat Valenciana
T2024-04444,2024-12-15,C0461,Auriculares inalambricos,Audio,121.91,4.0,10.0,0.0,Pais Vasco
T2024-02357,2024-06-25,C0701,Tablet 10 pulgadas,Telefonia,265.03,5.0,0.0,0.0,Comunitat Valenciana
T2024-02860,2024-12-18,C0750,Movil gama media,Telefonia,324.28,1.0,,0.0,Galicia
T2024-04316,2024-11-14,C0454,Barra de sonido,Audio,209.25,3.0,10.0,0.0,Andalucia
T2024-04871,2024-10-05,C0022,Disco SSD 1 TB,Almacenamiento,105.62,1.0,,0.0,Galicia
T2024-00489,2024-12-11,C0185,Tarjeta microSD 256 GB,Almacenamiento,33.47,2.0,10.0,5.17,Cataluna
T2024-02999,2024-12-26,C0014,Pulsera de actividad,Vestible,57.41,1.0,10.0,5.36,Comunitat Valenciana
T2024-02019,2024-06-23,C0018,Tablet 10 pulgadas,Telefonia,251.03,2.0,0.0,14.78,Canarias
T2024-00104,2024-01-01,C0661,Camara web 1080p,Perifericos,76.36,1.0,5.0,4.94,Cataluna
T2024-D0004,2024-03-10,C0869,Raton ergonomico,Perifericos,44.11,1.0,25.0,5.75,Galicia
T2024-02932,2024-10-10,C0663,Disco SSD 1 TB,Almacenamiento,88.77,4.0,30.0,0.0,Galicia
T2024-00888,2024-11-16,C0139,Altavoz bluetooth, Audio ,75.1,1.0,,6.41,Cataluna
T2024-01655,2024-02-19,C0046,Movil gama media,Telefonia,348.77,3.0,0.0,0.0,Comunitat Valenciana
T2024-02306,2024-02-28,C0249,Movil gama media,Telefonia,347.18,4.0,0.0,0.0,Madrid
T2024-01862,2024-12-07,C0102,Auriculares inalambricos,Audio,137.09,5.0,20.0,0.0,Pais Vasco
T2024-02998,2024-11-29,C0003,Altavoz bluetooth,Audio,83.08,1.0,25.0,6.24,Cataluna
T2024-00397,2024-11-14,C0731,Altavoz bluetooth,Audio,73.49,1.0,15.0,5.82,Comunitat Valenciana
T2024-02619,2024-11-06,C0609,Tarjeta microSD 256 GB,Almacenamiento,35.81,1.0,0.0,6.25,Comunitat Valenciana
T2024-02223,2024-11-10,C0005,Movil gama media,Telefonia,339.67,2.0,0.0,0.0,Madrid
T2024-04419,2024-04-14,C0624,Pulsera de actividad,Vestible,60.3,1.0,0.0,4.53,Andalucia
T2024-01473,2024-07-06,C0034,Tarjeta microSD 256 GB,Almacenamiento,33.48,1.0,20.0,4.51,Madrid
T2024-00287,2024-12-14,C0049,Tarjeta microSD 256 GB,Almacenamiento,36.51,5.0,20.0,0.0,Madrid
T2024-04667,2024-03-12,C0001,Disco SSD 2 TB,Almacenamiento,171.99,1.0,0.0,0.0,Pais Vasco
T2024-04859,2024-02-08,C0160,Raton ergonomico,Perifericos,40.21,1.0,30.0,3.13,Comunitat Valenciana
T2024-02189,2024-04-23,C0150,Auriculares con cable,Perifericos,29.05,2.0,,4.2,Comunitat Valenciana
T2024-02975,2024-05-01,C0002,Teclado mecanico,Perifericos,82.5,2.0,10.0,0.0,Andalucia
T2024-00825,2024-08-11,C0210,Monitor 27 pulgadas,Informatica,253.93,3.0,0.0,0.0,Andalucia
T2024-04081,2024-08-09,C0137,Raton ergonomico,Perifericos,42.14,2.0,0.0,5.48,Madrid
T2024-04545,2024-11-24,C0002,Barra de sonido,Audio,224.14,5.0,10.0,0.0,Madrid
T2024-02434,2024-04-16,C0025,Teclado mecanico,Perifericos,90.23,3.0,0.0,0.0,Madrid
T2024-04568,2024-05-11,C0217,Barra de sonido,Audio,206.43,5.0,0.0,0.0,Comunitat Valenciana
T2024-04656,2024-09-20,C0533,Teclado mecanico,Perifericos,88.81,1.0,0.0,6.63,Cataluna
T2024-03831,2024-11-09,C0218,Tablet 10 pulgadas,Telefonia,292.04,2.0,0.0,0.0,Pais Vasco
T2024-02948,2024-10-29,C0008,Disco SSD 1 TB,Almacenamiento,95.05,3.0,0.0,0.0,Madrid
T2024-01976,2024-06-23,C0086,Monitor 27 pulgadas,Informatica,265.21,4.0,0.0,0.0,Cataluna
T2024-04380,2024-01-31,C0005,Barra de sonido,Audio,205.28,2.0,0.0,0.0,Andalucia
T2024-01488,2024-11-04,C0127,Pulsera de actividad,Vestible,54.92,2.0,0.0,0.0,Comunitat Valenciana
T2024-01964,2024-04-28,C0002,Teclado mecanico,Perifericos,101.63,2.0,30.0,0.0,Galicia
T2024-00794,2024-12-13,C0031,Auriculares inalambricos,Audio,130.17,4.0,10.0,0.0,Madrid
T2024-00591,2024-11-04,C0430,Camara web 1080p,Perifericos,76.97,2.0,0.0,0.0,Madrid
T2024-00413,2024-04-11,C0873,Tarjeta microSD 256 GB,Almacenamiento,33.03,4.0,0.0,0.0,Comunitat Valenciana
T2024-04813,2024-04-03,C0302,Auriculares inalambricos,Audio,122.65,1.0,20.0,0.0,Andalucia
T2024-00445,2024-06-12,C0003,Auriculares con cable,Perifericos,30.54,1.0,10.0,3.4,Madrid
T2024-00913,2024-06-25,C0317,Portatil 14 pulgadas,Informatica,1014.58,1.0,0.0,0.0,Madrid
T2024-03116,2024-06-20,C0257,Pulsera de actividad,Vestible,53.17,1.0,15.0,5.72,Andalucia
T2024-03148,2024-01-04,C0352,Movil gama media,Telefonia,357.09,4.0,5.0,0.0,Comunitat Valenciana
T2024-01307,2024-10-31,C0520,Altavoz bluetooth,Audio,82.56,4.0,0.0,0.0,Madrid
T2024-00748,2024-02-18,C0009,Altavoz bluetooth,Audio,77.33,4.0,0.0,0.0,Cataluna
T2024-04880,2024-11-14,C0089,Auriculares con cable,Perifericos,29.39,4.0,5.0,0.0,Madrid
T2024-02083,2024-05-15,C0906,Raton ergonomico,Perifericos,47.25,1.0,0.0,6.41,Comunitat Valenciana
T2024-04943,2024-07-01,C0001,Camara web 1080p,Perifericos,69.73,5.0,0.0,0.0,Comunitat Valenciana
T2024-01542,2024-02-24,C0013,Altavoz bluetooth,Audio,71.89,1.0,10.0,3.15,Galicia
T2024-00809,2024-12-08,C0297,Portatil 16 pulgadas,Informatica,1574.78,5.0,0.0,11.68,Canarias
T2024-01005,2024-01-02,C1117,Monitor 27 pulgadas,Informatica,249.4,5.0,10.0,0.0,Andalucia
T2024-03763,2024-04-19,C0001,Camara web 1080p,Perifericos,61.56,1.0,0.0,3.12,Andalucia
T2024-02245,2024-12-03,C0067,Pulsera de actividad,Vestible,61.45,2.0,10.0,0.0,Cataluna
T2024-04895,2024-07-19,C1146,Portatil 16 pulgadas,Informatica,1448.24,1.0,25.0,0.0,Andalucia
T2024-03519,2024-12-11,C0977,Monitor 27 pulgadas,Informatica,230.87,5.0,30.0,0.0,Cataluna
T2024-03790,2024-02-12,C0033,Monitor 27 pulgadas,Informatica,256.58,1.0,0.0,0.0,Galicia
T2024-03962,2024-05-03,C0039,Camara web 1080p,Perifericos,63.71,1.0,0.0,5.0,Cataluna
T2024-03613,2024-06-02,C0072,Pulsera de actividad,Vestible,61.52,4.0,5.0,0.0,Madrid
T2024-01303,2024-06-24,C0003,Teclado mecanico,Perifericos,91.56,5.0,0.0,0.0,Comunitat Valenciana
T2024-00197,2024-05-18,C0068,Disco SSD 1 TB,Almacenamiento,109.09,2.0,0.0,0.0,Madrid
T2024-00690,2024-09-12,C0004,Tarjeta microSD 256 GB,Almacenamiento,35.49,4.0,0.0,0.0,Pais Vasco
T2024-04278,2024-02-17,C0001,Tarjeta microSD 256 GB,Almacenamiento,36.16,3.0,0.0,0.0,Madrid
T2024-01720,2024-10-13,C0863,Pulsera de actividad,Vestible,59.81,1.0,0.0,5.98,Galicia
T2024-02819,2024-12-07,C1002,Teclado mecanico,Perifericos,95.06,2.0,0.0,0.0,Madrid
T2024-02524,2024-12-28,C0057,Auriculares con cable,Perifericos,28.91,2.0,0.0,6.33,Andalucia
T2024-02995,2024-02-08,C0868,Altavoz bluetooth,Audio,73.19,2.0,0.0,0.0,Comunitat Valenciana
T2024-03263,2024-09-04,C0003,Reloj inteligente,Vestible,189.57,3.0,0.0,0.0,Pais Vasco
T2024-03566,2024-11-06,C0003,Auriculares con cable,Perifericos,26.6,4.0,0.0,0.0,Madrid
T2024-03550,2024-01-06,C0014,Teclado mecanico,Perifericos,87.07,2.0,0.0,0.0,Andalucia
T2024-00214,2024-11-13,C0723,Disco SSD 1 TB,Almacenamiento,95.16,1.0,0.0,5.25,Comunitat Valenciana
T2024-04917,2024-05-03,C0171,Portatil 14 pulgadas,INFORMATICA,889.69,1.0,10.0,0.0,Madrid
T2024-01096,2024-11-13,C0059,Disco SSD 1 TB,Almacenamiento,100.6,1.0,0.0,0.0,Galicia
T2024-02294,2024-12-20,C0812,Barra de sonido, Audio ,200.65,1.0,10.0,0.0,Comunitat Valenciana
T2024-01032,2024-04-07,C0322,Raton ergonomico,Perifericos,41.45,1.0,10.0,3.11,Comunitat Valenciana
T2024-01447,2024-01-21,C0051,Raton ergonomico,Perifericos,46.5,2.0,0.0,6.74,Pais Vasco
T2024-04228,2024-02-28,C0016,Disco SSD 1 TB,Almacenamiento,92.78,3.0,5.0,0.0,Comunitat Valenciana
T2024-00165,2024-12-29,C0928,Pulsera de actividad,Vestible,58.3,2.0,15.0,0.0,Andalucia
T2024-03326,2024-02-03,C0949,Raton ergonomico,Perifericos,46.03,5.0,10.0,0.0,Madrid
T2024-04328,2024-06-29,C0230,Tarjeta microSD 256 GB,Almacenamiento,31.51,1.0,0.0,14.25,Canarias
T2024-00070,2024-11-08,C0019,Auriculares inalambricos,Audio,113.72,1.0,0.0,0.0,Cataluna
T2024-00275,2024-12-25,C0034,Portatil 14 pulgadas,INFORMATICA,925.03,2.0,20.0,0.0,Comunitat Valenciana
T2024-01939,2024-03-20,C1067,Movil gama media,Telefonia,359.01,2.0,30.0,0.0,Pais Vasco
T2024-00768,2024-12-26,C1024,Disco SSD 1 TB,Almacenamiento,104.27,1.0,0.0,0.0,Madrid
T2024-02461,2024-05-12,C0691,Tarjeta microSD 256 GB,Almacenamiento,33.51,1.0,0.0,4.6,Cataluna
T2024-01045,2024-09-04,C0003,Raton ergonomico,perifericos,45.94,4.0,0.0,0.0,Andalucia
T2024-04475,2024-04-07,C0185,Auriculares con cable,Perifericos,27.11,3.0,0.0,3.62,Comunitat Valenciana
T2024-03646,2024-04-06,C0001,Disco SSD 1 TB,Almacenamiento,98.49,4.0,0.0,0.0,Comunitat Valenciana
T2024-00619,2024-07-02,C0963,Teclado mecanico,Perifericos,85.84,5.0,20.0,0.0,Comunitat Valenciana
T2024-03233,2024-11-11,C0271,Tarjeta microSD 256 GB,Almacenamiento,34.8,2.0,20.0,6.41,Comunitat Valenciana
T2024-03730,2024-12-14,C0487,Pulsera de actividad,Vestible,52.98,1.0,0.0,5.04,Madrid
T2024-04113,2024-05-17,C0040,Movil gama alta,Telefonia,893.41,5.0,20.0,0.0,Comunitat Valenciana
T2024-00534,2024-02-18,C0106,Teclado mecanico,Perifericos,85.53,1.0,0.0,5.47,Comunitat Valenciana
T2024-01568,2024-03-05,C0099,Raton ergonomico,Perifericos,45.6,5.0,0.0,0.0,Madrid
T2024-01270,2024-06-18,C0033,Pulsera de actividad,Vestible,56.15,1.0,0.0,4.75,Cataluna
T2024-01894,2024-04-04,C0292,Tarjeta microSD 256 GB,Almacenamiento,33.51,3.0,0.0,0.0,Comunitat Valenciana
T2024-01353,2024-07-02,C0022,Auriculares con cable,Perifericos,30.16,2.0,0.0,3.7,Comunitat Valenciana
T2024-04090,2024-06-12,C1155,Teclado mecanico,Perifericos,88.04,4.0,0.0,0.0,Galicia
T2024-00457,2024-05-01,C0005,Disco SSD 2 TB,Almacenamiento,170.23,1.0,15.0,0.0,Madrid
T2024-03269,2024-09-29,C0007,Altavoz bluetooth,Audio,81.83,1.0,10.0,9.79,Canarias
T2024-03382,2024-12-28,C0384,Disco SSD 2 TB,Almacenamiento,171.77,3.0,0.0,0.0,Andalucia
T2024-01309,2024-06-18,C0002,Teclado mecanico,Perifericos,89.99,1.0,0.0,6.6,Cataluna
T2024-01036,2024-02-22,C0269,Tablet 10 pulgadas,Telefonia,323.42,5.0,0.0,0.0,Madrid
T2024-00435,2024-10-11,C0685,Tarjeta microSD 256 GB,Almacenamiento,33.64,1.0,25.0,6.84,Cataluna
T2024-03414,2024-01-26,C0578,Auriculares con cable,Perifericos,28.71,2.0,0.0,3.29,Andalucia
T2024-01854,2024-09-04,C0908,Tablet 10 pulgadas,Telefonia,284.33,1.0,0.0,0.0,Cataluna
T2024-00558,2024-04-20,C0019,Tarjeta microSD 256 GB,Almacenamiento,30.51,3.0,0.0,4.09,Comunitat Valenciana
T2024-04616,2024-12-07,C0561,Altavoz bluetooth,Audio,84.13,5.0,10.0,0.0,Galicia
T2024-03297,2024-05-25,C0012,Disco SSD 2 TB,Almacenamiento,155.43,1.0,30.0,0.0,Comunitat Valenciana
T2024-02099,2024-05-25,C0534,Disco SSD 2 TB,Almacenamiento,142.09,2.0,30.0,0.0,Madrid
